,max_risk_estimate,max_risk_scaling,miss_distance,geocentric_latitude,elevation,mahalanobis_distance,F10,t_cn_r,t_cn_t,t_cndot_n,t_cndot_r,t_cndot_rdot,t_cndot_t,t_cndot_tdot,t_crdot_n,t_crdot_r,t_crdot_t,t_ct_r,t_ctdot_n,t_ctdot_r,t_ctdot_rdot,t_ctdot_t
alpha,0.9942072029669076,0.0003364287942378,-1.0,-0.0657590846900382,0.1257175322645736,-0.0377156950778103,0.8616264063540111,0.944780778122255,0.8787991334176339,0.3917582041017206,0.9122904561005354,0.8400496022012223,0.8460914683247053,0.9257388700299047,0.8870019518594275,0.86742110930688,0.937936872904321,0.83582270880999,0.9497402383700952,0.9795867324394921,0.9053350700644391,0.8355136428248087
anglit,0.3729170486225502,9.480752779067458e-06,0.1219409750957758,-0.3870953566159196,0.0070022455550442,0.0076360045387505,0.1201378707978948,0.35649132657600846,0.15825023644653935,0.449088535259485,0.2651358231206946,0.15587266897733354,0.1608610228208599,0.26332934187883905,0.19995715097473732,0.7246022603169979,0.006170233012313342,0.5889970251389745,0.36806946164566334,-9.471306430697268e-06,0.7356579306137758,0.6104921207322745
arcsine,-0.7138732883933292,0.0070544510017974,0.0869975976646917,0.5891267155858356,-0.0131645337025163,0.185125691306429,0.1570301085621116,-0.502886492612528,-0.21664873958154063,-1.0,-0.3634808915529235,-0.2184471860972157,-0.22461267565491783,-0.36268390961281716,-0.23457209991090977,-1.0,0.1772041701801943,-1.0,-0.5237962722331053,0.016082139662207173,-1.0,-1.0
argus,0.0097024873311697,-1.077234854185427e-05,-0.1869929615403764,-0.3283730177244848,0.0037460832041069,-0.0082535685032476,-0.024000725710457,0.24288684912665426,0.0744975429556396,0.6090977918678654,0.1605325497609078,0.07187763737629427,0.06504547782746417,0.08069826670567015,0.07250099599277016,0.4671522135948435,-0.009740442440433483,0.18635203559573832,0.08770273631824022,-4.7610562839306425e-05,0.29947125805037,0.31212445730576543
beta,0.994979900155189,0.3529911496441876,0.9540727739501146,0.5096579680820106,0.1351364962552141,0.9544124275142694,0.6662174308354964,0.9457715486282849,0.8799109061941991,0.07459592385696923,0.928512515494091,0.8520054459644276,0.8531035762389101,0.9245585222500766,0.8991318870543362,0.8855804890070963,0.9230996830009927,0.8403432077591327,0.9449430212789566,0.548670372780703,0.8782555058546913,0.8681593417711113
betaprime,0.8519191990590709,0.4376124183133389,0.8306863731197504,-0.2404537298540117,0.1343070210445326,0.9906170216784786,0.4128591472745773,0.9466621199363798,0.8797462145400028,0.3878885564604768,0.9235690313257543,0.8509961171608824,0.8553109633376994,0.8425935054102711,0.889740240250654,0.8635968606171437,0.6539101634496896,0.8414519332561535,0.9515481681047585,0.8827225959449025,0.9047685005748425,0.6963432216164784
bradford,0.0679998203037284,0.0015253994116293,0.6438364132999332,0.0358688767988879,-1.3912952057104633e-07,0.324718993087968,0.2389574596844718,-0.10291425145725985,-0.02801978827703766,-0.405691677808103,-7.43656722934638e-06,-0.02714094453919902,-0.0243231579683294,-0.03040207612836876,-0.027001167731981246,-0.31190887360034014,0.03173580546695898,-0.07880403621539145,-0.02909553441665902,0.00020392914570066534,-0.17678106456489417,-0.17334263070234002
burr,0.9865686819211602,0.4382416454513673,0.9393029403636748,0.0337992009288302,0.0788842585716398,0.9474621771764092,0.6869697907583692,0.7394851321540264,0.7775950164700156,0.20834293323530262,0.9765016597821714,0.9598340701743993,0.955558031183539,0.9737334353487596,0.9445825680710833,0.9305998617429814,0.7903295892033387,0.6650607040097322,0.9657164903131886,0.35604651765808426,0.9053993593629962,0.9186833178963184
burr12,0.9954789690497278,0.4787010207757656,0.822836571254996,-0.4241572524974522,-0.0333108866715232,0.9950849938634424,0.7845896079845939,0.9628974146492123,0.9569789810947874,0.6768600991076272,0.9745390135836339,0.9419039742528381,0.9570962729835559,0.9744504155305891,0.9544249715780992,0.9050942575205752,0.9062124661990325,0.8685434568924691,0.9659277526392196,0.35889103350292473,0.8875036018277924,0.9085834923845169
cauchy,0.8441710931760138,0.9441485569697268,0.2614433445098546,-0.5620487032904622,0.9943376422716176,0.6146563471928135,0.6961992599052751,0.8578201083160379,0.9658071480211984,0.32228497939219414,0.915774463722176,0.9636753709249444,0.9602361255698894,0.9157049979789179,0.9606102178293641,0.8348600530515379,0.7929774395142098,0.8980562633225287,0.8481082476015357,0.8883363625116665,0.8450657853459329,0.9183956532590769
