,PARAMETERS,LOSS,ITERATIONS,EPOCHS,LEARNING_RATE,RELATIVE_LOSS
LSTM_NIG_HS306_NL2_BS15,927246,0.14198915660381317,1040,10,0.001,-0.0466917147677915
LSTM_NFG_HS306_NL2_BS15,927246,0.17300696671009064,1040,10,0.001,0.16156035230082533
LSTM_NOGAF_HS264_NL2_BS15,927762,0.14388836920261383,1040,10,0.001,-0.033940493835435875
LSTM_SLIM3_HS897_NL1_BS15,926667,0.12095383554697037,1040,10,0.001,-0.1879218363182793
LSTM_SLIM1_HS313_NL2_BS15,925607,0.16175727546215057,1040,10,0.001,0.08603047291088382
LSTM_VANILLA_HS264_NL2_BS15,927762,0.14894358813762665,1040,10,0.001,0.0
LSTM_SLIM2_HS314_NL2_BS15,929506,0.17324897646903992,1040,10,0.001,0.16318519404107976
LSTM_NCGAF_HS264_NL2_BS15,927762,0.4645843505859375,1040,10,0.001,2.1191967132996212
LSTM_ATTN-VANILLA_HS230_NL1_BS15,926966,0.14078950881958008,1040,10,0.001,-0.0547460915908112
LSTM_ATTN-SLIM3_HS354_NL1_BS15,928254,0.1587512344121933,1040,10,0.001,0.06584805963922531
LSTM_NIGAF_HS264_NL2_BS15,927762,0.14261949062347412,1040,10,0.001,-0.042459682845218845
LSTM_NFGAF_HS264_NL2_BS15,927762,0.1438821405172348,1040,10,0.001,-0.033982312925850654
LSTM_NOG_HS306_NL2_BS15,927246,0.14071205258369446,1040,10,0.001,-0.05526612898788297
