,scipy_distributions
0,alpha
1,anglit
2,arcsine
3,argus
4,beta
5,betaprime
6,bradford
7,burr
8,burr12
9,cauchy
10,chi
11,chi2
12,cosine
13,crystalball
14,dgamma
15,dweibull
16,erlang
17,expon
18,exponnorm
19,exponweib
20,exponpow
21,f
22,fatiguelife
23,fisk
24,foldcauchy
25,foldnorm
26,genlogistic
27,gennorm
28,genpareto
29,genexpon
30,genextreme
31,gausshyper
32,gamma
33,gengamma
34,genhalflogistic
35,genhyperbolic
36,geninvgauss
37,gibrat
38,gompertz
39,gumbel_r
40,gumbel_l
41,halfcauchy
42,halflogistic
43,halfnorm
44,halfgennorm
45,hypsecant
46,invgamma
47,invgauss
48,invweibull
49,johnsonsb
50,johnsonsu
51,kappa4
52,kappa3
53,ksone
54,kstwo
55,kstwobign
56,laplace
57,laplace_asymmetric
58,levy
59,levy_l
60,levy_stable
61,logistic
62,loggamma
63,loglaplace
64,lognorm
65,loguniform
66,lomax
67,maxwell
68,mielke
69,moyal
70,nakagami
71,ncx2
72,ncf
73,nct
74,norm
75,norminvgauss
76,pareto
77,pearson3
78,powerlaw
79,powerlognorm
80,powernorm
81,rdist
82,rayleigh
83,rice
84,recipinvgauss
85,semicircular
86,skewcauchy
87,skewnorm
88,studentized_range
89,t
90,trapezoid
91,triang
92,truncexpon
93,truncnorm
94,truncweibull_min
95,tukeylambda
96,uniform
97,vonmises
98,vonmises_line
99,wald
100,weibull_min
101,weibull_max
102,wrapcauchy
